date,date_id,year,month,day
2012-05-22,3453,2012,5,22
2008-09-14,3454,2008,9,14
2014-02-13,3455,2014,2,13
1985-12-09,3456,1985,12,9
2004-08-14,3457,2004,8,14
2015-01-08,3458,2015,1,8
2004-07-14,3459,2004,7,14
2008-07-02,3460,2008,7,2
2021-02-21,3461,2021,2,21
2015-08-22,3462,2015,8,22
2014-10-17,3463,2014,10,17
2003-01-08,3464,2003,1,8
2004-04-26,3465,2004,4,26
2022-12-23,3466,2022,12,23
2007-04-14,3467,2007,4,14
2005-06-20,3468,2005,6,20
2000-03-05,3469,2000,3,5
1977-09-22,3470,1977,9,22
2003-04-07,3471,2003,4,7
2006-10-08,3472,2006,10,8
2022-09-20,3473,2022,9,20
1981-04-05,3474,1981,4,5
2020-06-16,3475,2020,6,16
2019-04-12,3476,2019,4,12
2021-11-27,3477,2021,11,27
1970-09-12,3478,1970,9,12
2020-04-10,3479,2020,4,10
2022-08-26,3480,2022,8,26
1988-09-12,3481,1988,9,12
2000-04-30,3482,2000,4,30
2000-01-07,3483,2000,1,7
1959-11-19,3484,1959,11,19
1964-09-22,3485,1964,9,22
2023-01-30,3486,2023,1,30
2021-03-29,3487,2021,3,29
2004-02-11,3488,2004,2,11
2004-06-12,3489,2004,6,12
2005-04-17,3490,2005,4,17
2014-03-31,3491,2014,3,31
2022-05-30,3492,2022,5,30
2002-09-06,3493,2002,9,6
2005-01-07,3494,2005,1,7
2014-01-09,3495,2014,1,9
2002-09-30,3496,2002,9,30
2006-11-03,3497,2006,11,3
2006-08-21,3498,2006,8,21
2021-05-16,3499,2021,5,16
1963-09-17,3500,1963,9,17
2017-06-16,3501,2017,6,16
2018-02-27,3502,2018,2,27
1985-03-18,3503,1985,3,18
1994-01-19,3504,1994,1,19
2006-01-02,3505,2006,1,2
2022-06-02,3506,2022,6,2
2010-04-06,3507,2010,4,6
2016-04-20,3508,2016,4,20
2013-04-13,3509,2013,4,13
1992-11-15,3510,1992,11,15
2013-08-25,3511,2013,8,25
2005-09-11,3512,2005,9,11
2007-05-28,3513,2007,5,28
2011-09-14,3514,2011,9,14
2013-04-03,3515,2013,4,3
1998-09-22,3516,1998,9,22
2014-01-21,3517,2014,1,21
2021-06-13,3518,2021,6,13
2019-01-30,3519,2019,1,30
2007-03-12,3520,2007,3,12
2018-05-15,3521,2018,5,15
1993-01-27,3522,1993,1,27
1972-01-10,3523,1972,1,10
2022-07-22,3524,2022,7,22
1981-04-16,3525,1981,4,16
2019-04-09,3526,2019,4,9
1982-02-01,3527,1982,2,1
2015-03-14,3528,2015,3,14
2020-08-31,3529,2020,8,31
1989-02-28,3530,1989,2,28
2012-06-06,3531,2012,6,6
2016-03-03,3532,2016,3,3
2016-06-26,3533,2016,6,26
2019-09-18,3534,2019,9,18
1998-09-25,3535,1998,9,25
1967-01-10,3536,1967,1,10
2011-01-20,3537,2011,1,20
2020-02-02,3538,2020,2,2
2016-01-09,3539,2016,1,9
1992-12-03,3540,1992,12,3
2020-11-19,3541,2020,11,19
2007-04-13,3542,2007,4,13
2021-04-15,3543,2021,4,15
2012-03-24,3544,2012,3,24
2022-04-12,3545,2022,4,12
2012-03-23,3546,2012,3,23
1999-12-12,3547,1999,12,12
2011-11-30,3548,2011,11,30
2018-05-29,3549,2018,5,29
2001-08-08,3550,2001,8,8
2008-02-03,3551,2008,2,3
2018-08-06,3552,2018,8,6
2021-12-10,3553,2021,12,10
1993-11-19,3554,1993,11,19
2017-01-02,3555,2017,1,2
2010-12-14,3556,2010,12,14
1993-01-06,3557,1993,1,6
2006-03-08,3558,2006,3,8
2005-01-24,3559,2005,1,24
2017-11-12,3560,2017,11,12
2010-02-07,3561,2010,2,7
2009-07-09,3562,2009,7,9
2001-06-12,3563,2001,6,12
2016-02-12,3564,2016,2,12
2012-09-14,3565,2012,9,14
2014-10-04,3566,2014,10,4
2016-12-07,3567,2016,12,7
2023-05-21,3568,2023,5,21
2017-06-01,3569,2017,6,1
1998-11-04,3570,1998,11,4
2023-08-16,3571,2023,8,16
1993-05-22,3572,1993,5,22
2013-03-12,3573,2013,3,12
1983-01-11,3574,1983,1,11
2023-06-30,3575,2023,6,30
2022-12-10,3576,2022,12,10
2013-02-14,3577,2013,2,14
1964-09-19,3578,1964,9,19
2020-07-23,3579,2020,7,23
1999-10-09,3580,1999,10,9
1975-09-09,3581,1975,9,9
2019-02-18,3582,2019,2,18
2021-06-01,3583,2021,6,1
2014-02-27,3584,2014,2,27
2010-11-04,3585,2010,11,4
1975-10-20,3586,1975,10,20
2009-01-09,3587,2009,1,9
2007-07-13,3588,2007,7,13
1994-06-01,3589,1994,6,1
1966-05-09,3590,1966,5,9
1958-09-30,3591,1958,9,30
1996-11-12,3592,1996,11,12
1997-11-30,3593,1997,11,30
1994-10-01,3594,1994,10,1
2009-04-16,3595,2009,4,16
2018-11-08,3596,2018,11,8
2020-03-30,3597,2020,3,30
2003-07-15,3598,2003,7,15
1999-05-08,3599,1999,5,8
1993-11-21,3600,1993,11,21
2017-07-17,3601,2017,7,17
2016-07-29,3602,2016,7,29
2018-09-02,3603,2018,9,2
2009-10-09,3604,2009,10,9
2017-09-22,3605,2017,9,22
2006-09-06,3606,2006,9,6
2022-07-10,3607,2022,7,10
2004-09-18,3608,2004,9,18
2016-09-05,3609,2016,9,5
1995-09-22,3610,1995,9,22
2020-09-22,3611,2020,9,22
2017-10-17,3612,2017,10,17
2013-06-18,3613,2013,6,18
2005-03-13,3614,2005,3,13
2013-01-18,3615,2013,1,18
2014-03-27,3616,2014,3,27
1973-02-15,3617,1973,2,15
2022-01-06,3618,2022,1,6
2023-04-21,3619,2023,4,21
2004-01-01,3620,2004,1,1
1981-10-09,3621,1981,10,9
1994-10-08,3622,1994,10,8
1981-12-04,3623,1981,12,4
2018-01-30,3624,2018,1,30
2020-03-27,3625,2020,3,27
1984-01-03,3626,1984,1,3
2022-04-06,3627,2022,4,6
2014-01-29,3628,2014,1,29
1988-02-21,3629,1988,2,21
2013-02-15,3630,2013,2,15
1966-09-12,3631,1966,9,12
1987-07-11,3632,1987,7,11
1979-04-07,3633,1979,4,7
2005-01-14,3634,2005,1,14
2020-04-21,3635,2020,4,21
2021-10-27,3636,2021,10,27
2021-11-08,3637,2021,11,8
2012-01-09,3638,2012,1,9
2021-05-12,3639,2021,5,12
1987-09-26,3640,1987,9,26
2014-09-04,3641,2014,9,4
2001-06-30,3642,2001,6,30
2010-06-06,3643,2010,6,6
1984-09-15,3644,1984,9,15
2011-05-07,3645,2011,5,7
2013-02-13,3646,2013,2,13
2014-03-20,3647,2014,3,20
2022-05-25,3648,2022,5,25
2015-09-19,3649,2015,9,19
1961-01-05,3650,1961,1,5
1994-09-27,3651,1994,9,27
2008-05-11,3652,2008,5,11
1990-06-15,3653,1990,6,15
2017-11-19,3654,2017,11,19
2020-06-14,3655,2020,6,14
