number_of_seasons,number_of_episodes,episode_run_time,in_production,show_attributes_id
4,68,30,False,1095
2,32,24,False,1096
1,4,60,False,1097
1,30,0,False,1098
8,182,30,False,1099
4,40,28,False,1100
1,67,25,False,1101
6,111,42,False,1102
3,85,25,False,1103
2,162,0,True,1104
2,16,39,True,1105
7,147,60,False,1106
1,193,60,False,1107
3,39,0,True,1108
3,30,44,False,1109
3,149,11,False,1110
2,22,24,False,1111
4,115,30,False,1112
31,1599,130,True,1113
1,10,43,True,1114
3,43,44,False,1115
1,2,88,False,1116
8,219,22,False,1117
1,60,47,True,1118
2,20,42,True,1119
1,36,35,False,1120
1,155,60,False,1121
1,16,69,False,1122
2,26,42,False,1123
1,12,60,False,1124
4,61,45,False,1125
3,119,24,False,1126
3,90,11,False,1127
1,5,2,False,1128
2,21,50,True,1129
1,6,0,True,1130
5,104,42,False,1131
2,16,31,False,1132
9,194,21,False,1133
1,6,24,False,1134
1,8,44,False,1135
3,18,52,False,1136
5,30,30,True,1137
3,36,60,False,1138
1,229,60,True,1139
7,335,24,True,1140
7,77,80,False,1141
1,4,44,False,1142
6,78,23,False,1143
1,9,26,False,1144
5,101,42,False,1145
2,20,56,False,1146
2,26,30,False,1147
1,8,62,False,1148
1,60,52,False,1149
3,240,45,False,1150
1,72,60,False,1151
3,45,60,False,1152
3,40,45,False,1153
1,3,95,False,1154
1,64,45,False,1155
3,52,30,False,1156
1,4,47,False,1157
8,175,23,False,1158
7,94,32,False,1159
1,65,23,False,1160
1,8,49,False,1161
2,25,25,False,1162
2,48,23,False,1163
5,36,52,False,1164
1,170,60,False,1165
3,54,21,False,1166
1,10,22,False,1167
1,3,100,False,1168
1,125,22,False,1169
1,128,45,False,1170
2,24,43,False,1171
3,30,30,True,1172
1,65,22,False,1173
1,19,40,False,1174
2,21,43,False,1175
5,112,43,False,1176
7,109,46,False,1177
2,22,59,False,1178
1,23,25,False,1179
2,10,30,True,1180
1,7,30,False,1181
1,13,45,False,1182
1,182,45,False,1183
5,131,120,True,1184
2,20,30,False,1185
3,24,24,False,1186
3,16,0,True,1187
6,145,22,False,1188
1,4,48,False,1189
2,50,12,True,1190
1,26,13,False,1191
3,30,60,True,1192
6,120,45,False,1193
3,77,23,False,1194
1,130,31,False,1195
3,49,23,True,1196
4,30,23,False,1197
4,45,40,False,1198
8,192,30,False,1199
3,18,59,False,1200
2,44,42,False,1201
4,40,55,True,1202
1,180,21,False,1203
3,33,22,False,1204
3,36,14,True,1205
3,24,55,False,1206
1,5,35,True,1207
1,2,172,False,1208
1,25,25,False,1209
3,91,22,False,1210
1,52,24,False,1211
2,102,12,False,1212
3,130,8,False,1213
1,5,52,False,1214
4,100,12,False,1215
3,56,47,False,1216
2,17,32,False,1217
1,3,44,False,1218
1,13,50,False,1219
1,11,50,False,1220
3,18,45,False,1221
2,16,35,False,1222
1,121,45,False,1223
1,9,67,False,1224
21,650,27,True,1225
2,25,0,False,1226
4,28,30,False,1227
1,162,41,False,1228
1,3,51,False,1229
8,189,30,False,1230
4,350,0,False,1231
1,3,86,False,1232
1,8,14,False,1233
1,5,60,False,1234
2,40,22,True,1235
1,166,45,False,1236
1,7,50,False,1237
5,120,26,False,1238
2,19,45,False,1239
4,88,60,False,1240
1,26,22,False,1241
4,24,42,False,1242
4,29,30,False,1243
1,18,34,False,1244
2,15,18,False,1245
8,50,23,False,1246
1,3,55,False,1247
4,76,42,False,1248
23,136,90,True,1249
2,18,22,False,1250
3,30,55,False,1251
7,46,24,True,1252
2,8,55,True,1253
1,10,52,False,1254
3,216,30,False,1255
9,100,45,False,1256
1,8,25,False,1257
2,23,43,False,1258
2,21,24,False,1259
3,57,23,False,1260
9,215,30,False,1261
1,7,21,False,1262
11,1447,24,False,1263
1,22,25,False,1264
2,20,25,False,1265
2,20,28,True,1266
1,10,46,False,1267
4,123,15,False,1268
3,34,32,False,1269
5,76,43,False,1270
6,63,45,False,1271
3,69,23,False,1272
3,22,52,True,1273
2,24,40,False,1274
13,263,80,True,1275
2,16,23,False,1276
3,47,45,False,1277
3,112,23,False,1278
7,171,60,False,1279
8,196,23,False,1280
6,60,50,False,1281
1,20,75,False,1282
4,23,46,True,1283
3,65,25,True,1284
11,1233,45,True,1285
18,447,85,True,1286
7,45,30,False,1287
22,332,44,True,1288
4,88,30,False,1289
2,16,41,False,1290
1,6,46,False,1291
3,28,43,True,1292
1,20,70,False,1293
2,428,0,True,1294
2,24,45,False,1295
7,68,43,False,1296
2,21,60,False,1297
4,30,60,False,1298
3,25,42,False,1299
3,22,25,False,1300
11,252,22,False,1301
6,78,43,False,1302
1,10,43,False,1303
2,42,22,False,1304
1,2,91,False,1305
3,24,45,False,1306
1,82,44,False,1307
19,239,42,True,1308
1,7,67,False,1309
2,24,25,False,1310
3,46,43,True,1311
7,160,43,False,1312
2,269,0,False,1313
1,94,50,False,1314
1,5,25,False,1315
1,12,46,False,1316
23,209,46,True,1317
1,23,40,False,1318
2,16,59,False,1319
1,28,23,False,1320
3,58,48,False,1321
3,18,50,True,1322
3,67,45,False,1323
3,74,23,False,1324
3,33,42,False,1325
3,27,25,True,1326
2,12,24,True,1327
6,116,22,False,1328
3,118,12,True,1329
5,91,23,False,1330
1,10,54,False,1331
3,64,23,True,1332
1,26,23,False,1333
1,7,62,True,1334
3,47,43,False,1335
7,144,30,False,1336
1,220,0,False,1337
2,44,45,True,1338
3,13,43,False,1339
17,274,60,True,1340
4,65,22,False,1341
1,10,26,True,1342
1,103,45,False,1343
1,60,25,False,1344
2,37,24,False,1345
3,27,24,False,1346
