creator_id,creator_name
809,Andrés López López
810,Park Eun-kyo
811,Choi Hang-yong
812,Jemaine Clement
813,Arne Nolting
814,Jan Martin Scharf
815,Andreas Heckmann
816,Boo Kyoung Kim
817,Calvin Kim
818,Wes Tooke
819,Roberto Stopello
820,Van Partible
821,Jung Hyun-jung
822,Aaron Ehasz
823,Justin Richmond
824,Jonathan Brackley
825,Sam Vincent
826,Eddie Gorodetsky
827,Gemma Baker
828,Yuyuko Takemiya
829,Perla Farías
830,Aaron Sorkin
831,Verity Lambert
832,R.L. Stine
833,Yoko Kamio
834,Angie Chai
835,Lin He Long
836,Jenna Bans
837,Glen Charles
838,Les Charles
839,James Burrows
840,Kenn Navarro
841,Rhode Montijo
842,Aubrey Ankrum
843,Craig Gerber
844,Hans Rosenfeldt
845,Philip Rosenthal
846,Dean DeBlois
847,Scott Rosenberg
848,Josh Appelbaum
849,Jeff Pinkner
850,André Nemec
851,Go Nagai
852,Ben Nedivi
853,Matt Wolpert
854,Hugo León Ferrer
855,Dustin Thomason
856,Sam Shaw
857,Bob Peterson
858,Pete Docter
859,Alex Garland
860,Mr. Lawrence
861,Vincent Waller
862,Kaz
863,Luke Brookshier
864,Marc Ceccarelli
865,Andrew Goodman
866,Susannah Grant
867,Kate Brooke
868,Michelle King
869,Robert King
870,Christopher Keyser
871,Gabrielle G. Stanton
872,Jenny Han
873,An Gil-ho
874,Hong Mi-ran
875,Hong Jeong-eun
876,Kentaro Miura
877,Zack Whedon
878,Peter Rees
879,Kim Cheol-kyu
880,Yoo Jung-hee
881,Gareth Evans
882,Matt Flannery
883,William Dozier
884,Lorenzo Semple Jr.
885,William Broyles Jr.
886,David Broyles
887,Paul Eckstein
888,Glenn Gordon Caron
889,Halid Ziya Uşaklıgil
890,Doug Ellin
891,Eric Overmyer
892,Paolo Sorrentino
893,Robert Carlock
894,Steve Yockey
895,John Hyams
896,Daniel Lipman
897,Ron Cowen
898,Tong Hua
899,Rachel Shukert
900,Liliana Abud
901,Delia Fiallo
902,Søren Sveistrup
903,Mikkel Serup
904,David Sandreuter
905,Dorte Warnøe Høgh
906,Teco Lebrija
907,Arturo Navarro
908,Paul Haggis
909,Albert S. Ruddy
910,Christian Williams
911,Lizz Winstead
912,Madeleine Smithberg
913,Dennis Kelly
914,Choi Yoo-Jung
915,Jang Yoo-Yeon
916,April Kelly
917,Rockne S. O'Bannon
918,Will Davies
919,Brian McGreevy
920,J.H. Wyman
921,Sue Tenney
922,Pedro Damián
923,Danny Bilson
924,Paul De Meo
925,Alan Zaslove
926,Tad Stones
927,Yu Je-won
928,Shin Ha-eun
929,Rebecca Sonnenshine
930,Steven Canals
931,Russell T Davies
932,Jeff Goode
933,Chris Savino
934,Jason George
935,Carlos Romero
936,Eliot Laurence
937,M. A. Lovretta
938,Umanosuke Iida
939,Peyo
940,Andrew Dabb
941,Ramón Campos
942,Gema R. Neira
943,Teresa Fernández-Valdés
944,Dennis Lehane
945,Dylan Moran
946,Louis C.K.
947,Guillermo García Carsí
948,David Cantolla
949,Luis Gallego
950,Seth Green
951,Matthew Senreich
952,Miki Brewster
953,Samuel Bodin
954,Kevin Murphy
955,Michael Taylor
956,Liz Feldman
957,Franco Zeffirelli
958,Joe Ansolabehere
959,Charley Parlapanides
960,Vlas Parlapanides
961,John Fusco
962,Aziz Ansari
963,Alan Yang
964,Arturo Pérez-Reverte
965,Claudia Sánchez
966,Catalina Coy
967,Jörg Hiller
968,Alejandro Aimetta
969,David Jasqui
970,Dariela Pérez Hernández
971,Sarah Streicher
972,Pablo Larraín
973,Mark McCorkle
974,Bob Schooley
975,Max Mutchnick
976,David Kohan
977,Stanley Ralph Ross
978,April Blair
979,Moira Demos
980,Laura Ricciardi
981,David Feiss
982,Matthew Graham
983,Emma Frost
984,Han Sang-un
985,Jon Turteltaub
986,Stephen Chbosky
987,Ariel Shaffir
988,Kyle Hunter
989,Pedro Aguilera
990,Mike McMahan
991,Park Joon-hwa
992,Sam Ernst
993,Jim Dunn
994,Marty Isenberg
995,David Wise
996,Robert N. Skir
997,Anita Rivaroli
998,Mirko Cetrangolo
999,Jenny Lumet
1000,Simon Langton
1001,Roberto Saviano
1002,Christopher Cantwell
1003,Christopher C. Rogers
1004,Douglas Schwartz
1005,Michael Berk
1006,Gregory J. Bonann
1007,Kwon Hye-joo
1008,Alex Van
1009,Dean Stefan
1010,Steve Roberts
1011,Eugene Levy
1012,Dan Levy
1013,Dana Fox
1014,Dara Resnik Creasey
1015,Gillian Flynn
1016,Carina Adly MacKenzie
1017,Iginio Straffi
1018,Han Woo-ri
1019,Binnur Karaevli
1020,Im Meari
1021,Jason Katims
1022,Jang Yeong-cheol
1023,Damon Wayans
1024,Don Reo
1025,Jonathan Lisco
1026,Hande Altaylı
1027,Joshua John Miller
1028,M.A. Fortin
1029,Mark Schwahn
1030,Ben Elton
1031,Brian Knappenberger
1032,Neil Jordan
1033,Lina Uribe
1034,Dario Vanegas
1035,Oleg Kuzovkov
1036,Beth Sullivan
1037,Carol Barbee
1038,John Kricfalusi
1039,Alberto González
1040,Ron Koslow
1041,Jennifer Levine
1042,Sherri Cooper-Landsman
1043,Martha Carrillo
1044,Cristina Garcia
1045,Cuauhtémoc Blanco
1046,María del Carmen Peña
1047,Robert K. Weiss
1048,Tracy Tormé
1049,Christopher Leone
1050,Gary Glasberg
1051,Amy Rardin
1052,Jessica O'Toole
1053,Shawn Simmons
1054,Chris Fedak
1055,Sam Sklaver
1056,James Cameron
1057,Charles H. Eglee
1058,Laura Gibson
1059,Charlie Bennett
1060,Andrew Jarecki
1061,Janet Tamaro
1062,Brad Peyton
1063,John Scott Shepherd
1064,Allan Burns
1065,Chris Hayward
1066,Bob Mosher
1067,Duane Capizzi
1068,James Gay-Rees
1069,David Dortort
1070,Craig Kyle
1071,Greg Johnson
1072,Deborah Joy LeVine
1073,Joe Gayton
1074,Tony Gayton
1075,Márcia Faria
1076,Cameron Porsandeh
1077,Jack Amiel
1078,Michael Begler
1079,Aaron Mahnke
1080,Juan Osorio Ortiz
1081,Guy Burt
1082,Thom Beers
1083,María Zarattini
1084,Edgar Wright
1085,Simon Pegg
1086,Jessica Hynes
1087,Ashley Edward Miller
1088,Frank Paur
1089,Richard Appel
1090,Mike Henry
1091,Lorne Michaels
1092,Dick Ebersol
1093,John-Henry Butterworth
1094,Harlan Coben
1095,Andrew Sodroski
1096,Jim Clemente
1097,Tony Gittelson
1098,Mary Black Suarez
1099,Jeff Kline
1100,Alina Kovaleva
1101,Lodge Kerrigan
1102,Amy Seimetz
1103,Anja Marquardt
1104,Sebastián Ortega
1105,Adrián Caetano
1106,John D. Beck
1107,Ron Hart
1108,Philipp Kadelbach
1109,Jason Gann
1110,Adam Zwar
1111,Martin Caidin
1112,Phil Baker
1113,Drew Vaupen
1114,Kei Sasuga
1115,David Wiebe
1116,Anthony Yerkovich
1117,Vedat Türkali
1118,Michael J. Leeson
1119,Bill Cosby
1120,Ed. Weinberger
1121,C.H. Greenblatt
1122,Eddie Mort
1123,Lili Chin
1124,Peter Gaffney
1125,Grant Morrison
1126,Darick Robertson
1127,William Bickley
1128,Michael Warren
1129,Daniel Knauf
1130,Armando Iannucci
1131,Cole Haddon
1132,Craig Shapiro
1133,Elizabeth Kruger
1134,Matt JL Wheeler
1135,Jhonen Vasquez
1136,Chris Romano
1137,Eric Falconer
1138,Stefano Sollima
1139,Mauricio Katz
1140,Leonardo Fasoli
1141,Giselle González
1142,Mark Burnett
1143,Charlie Parsons
1144,Peter Hannan
1145,Joe Hill
1146,Jami O'Brien
1147,Buck Henry
1148,Mel Brooks
1149,Kim Bass
1150,Germán Porras
1151,Santiago Limón
1152,Sam Littenberg-Weisberg
1153,Erica Spates
1154,Sakae Esuno
1155,Juan Camilo Ferrand
1156,Philip Koch
1157,Hugh Davidson
1158,Larry Dorf
1159,Rachel Ramras
1160,Adriana Suarez
1161,Mike Gunton
